iter	Passed	Remaining
813	1568	358
814	1569	356
815	1570	354
816	1571	352
817	1573	349
818	1573	347
819	1574	345
820	1575	343
821	1578	341
822	1579	339
823	1584	338
824	1585	336
825	1587	334
826	1589	332
827	1590	330
828	1594	328
829	1596	326
830	1596	324
831	1597	322
832	1598	320
833	1599	318
834	1600	316
835	1601	314
836	1602	311
837	1602	309
838	1603	307
839	1604	305
840	1605	303
841	1606	301
842	1610	299
843	1611	297
844	1612	295
845	1613	293
846	1614	291
847	1615	289
848	1615	287
849	1616	285
850	1617	283
851	1618	281
852	1619	279
853	1620	276
854	1621	274
855	1623	273
856	1624	271
857	1625	269
858	1626	267
859	1627	264
860	1628	262
861	1629	260
862	1630	258
863	1631	256
864	1631	254
865	1632	252
866	1633	250
867	1634	248
868	1635	246
869	1636	244
870	1643	243
871	1645	241
872	1646	239
873	1647	237
874	1649	235
875	1650	233
876	1652	231
877	1656	230
878	1658	228
879	1659	226
880	1660	224
881	1660	222
882	1661	220
883	1663	218
884	1664	216
885	1664	214
886	1665	212
887	1666	210
888	1668	208
889	1671	206
890	1672	204
891	1673	202
892	1674	200
893	1675	198
894	1676	196
895	1677	194
896	1678	192
897	1679	190
898	1680	188
899	1684	187
900	1687	185
901	1688	183
902	1689	181
903	1690	179
904	1692	177
905	1693	175
906	1694	173
907	1695	171
908	1696	169
909	1701	168
910	1702	166
911	1704	164
912	1704	162
913	1705	160
914	1706	158
915	1707	156
916	1708	154
917	1709	152
918	1710	150
919	1711	148
920	1711	146
921	1712	144
922	1716	143
923	1717	141
924	1718	139
925	1719	137
926	1720	135
927	1720	133
928	1721	131
929	1722	129
930	1723	127
931	1724	125
932	1725	123
933	1726	121
934	1727	120
935	1728	118
936	1732	116
937	1733	114
938	1734	112
939	1735	110
940	1735	108
941	1736	106
942	1737	105
943	1738	103
944	1739	101
945	1740	99
946	1741	97
947	1743	95
948	1745	93
949	1746	91
950	1747	90
951	1748	88
952	1749	86
953	1750	84
954	1751	82
955	1751	80
956	1752	78
957	1753	76
958	1754	75
959	1755	73
960	1756	71
961	1757	69
962	1759	67
963	1761	65
964	1762	63
965	1763	62
966	1764	60
967	1764	58
968	1765	56
969	1766	54
970	1767	52
971	1768	50
972	1769	49
973	1770	47
974	1771	45
975	1772	43
976	1774	41
977	1776	39
978	1778	38
979	1779	36
980	1780	34
981	1781	32
982	1781	30
983	1783	29
984	1784	27
985	1785	25
986	1786	23
987	1787	21
988	1789	19
989	1791	18
990	1792	16
991	1793	14
992	1794	12
993	1795	10
994	1796	9
995	1797	7
996	1798	5
997	1799	3
998	1800	1
999	1801	0
